Code,DescKey,Dimension,Value,Confidence,IsProposedDimension,IsProposedValue,Timestamp
0000-01,17723,anatomic_site,abdomen,1.0,False,False,2025-06-25 08:36:17
0001-01,8133,analyte,hemoglobin_a1c,0.9,False,False,2025-06-25 08:36:21
0001-02,8133,analyte,hemoglobin_a1c,0.9,False,False,2025-06-25 08:36:21
0002-01,9863,analyte,cholesterol,0.9,False,False,2025-06-25 08:36:25
0002-01,9863,analyte,triglycerides,0.9,False,False,2025-06-25 08:36:25
0002-01,9863,test_type,lipid_panel,0.9,False,False,2025-06-25 08:36:25
0002-01,9863,analyte,hdl,0.8,False,True,2025-06-25 08:36:25
0002-01,9863,analyte,ldl,0.8,False,True,2025-06-25 08:36:25
0002-01,9863,analyte,vldl,0.8,False,True,2025-06-25 08:36:25
0003-01,519,anatomic_site,heart,0.9,False,False,2025-06-25 08:36:29
0003-01,519,contrast,both,0.9,False,False,2025-06-25 08:36:29
0003-01,519,procedure_type,echo,0.8,False,True,2025-06-25 08:36:29
0003-01,519,imaging_view,2d,0.8,False,True,2025-06-25 08:36:29
0003-02,519,diagnostic_tool,echocardiogram,0.9,False,False,2025-06-25 08:36:29
0003-02,519,anatomic_site,heart,0.9,False,False,2025-06-25 08:36:29
0003-02,519,diagnostic_tool,doppler,0.8,False,True,2025-06-25 08:36:29
0003-02,519,procedure_type,2d_echo,0.8,False,True,2025-06-25 08:36:29
0004-01,14860,analyte,thyroxine,0.9,False,False,2025-06-25 08:36:35
0004-01,14860,analyte,triiodothyronine,0.9,False,False,2025-06-25 08:36:35
0004-01,14860,analyte,thyroid_stimulating_hormone,0.9,False,False,2025-06-25 08:36:35
0004-01,14860,test_type,functional_test,0.8,False,False,2025-06-25 08:36:35
0005-01,17587,anatomic_site,uterus,0.9,False,False,2025-06-25 08:36:39
0005-01,17587,anatomic_site,transvaginal,0.9,False,True,2025-06-25 08:36:39
0006-01,503,anatomic_site,heart,0.9,False,False,2025-06-25 08:36:43
0006-01,503,procedure_type,echo,0.8,False,True,2025-06-25 08:36:43
0006-01,503,imaging_view,2d,0.7,False,True,2025-06-25 08:36:43
0006-01,503,imaging_view,color_doppler,0.9,False,True,2025-06-25 08:36:43
0006-02,503,diagnostic_tool,echocardiogram,0.9,False,False,2025-06-25 08:36:43
0006-02,503,anatomic_site,heart,0.9,False,False,2025-06-25 08:36:43
0006-02,503,diagnostic_tool,color_doppler,0.8,False,True,2025-06-25 08:36:43
0007-01,9838,analyte,cholesterol,0.9,False,False,2025-06-25 08:36:48
0007-01,9838,analyte,triglycerides,0.9,False,False,2025-06-25 08:36:48
0007-01,9838,test_type,lipid_panel,0.95,False,False,2025-06-25 08:36:48
0008-01,66,analyte,platelet_count,0.9,False,False,2025-06-25 08:36:51
0008-01,66,test_type,microscopy,0.7,False,False,2025-06-25 08:36:51
0009-01,13778,analyte,alanine_aminotransferase,0.9,False,False,2025-06-25 08:36:55
0009-01,13778,analyte,serum_glutamic_pyruvic_transaminase,0.8,False,True,2025-06-25 08:36:55
0010-01,18205,vaccine_type,rabies,0.9,False,False,2025-06-25 08:36:59
0010-01,18205,procedure_type,vaccine,0.8,False,True,2025-06-25 08:36:59
0011-01,117,analyte,glucose,0.9,False,False,2025-06-25 08:37:02
0012-01,57,analyte,blood_urea_nitrogen,0.9,False,False,2025-06-25 08:37:05
0012-01,57,analyte,uric_acid,0.9,False,True,2025-06-25 08:37:05
0013-01,3970,analyte,creatinine,0.95,False,False,2025-06-25 08:37:08
0014-01,63,analyte,hemoglobin,0.9,False,False,2025-06-25 08:37:11
0014-01,63,analyte,complete_blood_count,0.8,False,True,2025-06-25 08:37:11
0015-01,6664,diagnostic_tool,electrocardiogram,0.9,False,False,2025-06-25 08:37:14
0015-01,6664,diagnostic_tool,12_lead_ecg,0.8,False,True,2025-06-25 08:37:14
0016-01,13829,analyte,potassium,0.95,False,False,2025-06-25 08:37:17
0017-01,13782,analyte,alanine_aminotransferase,0.9,False,False,2025-06-25 08:37:19
0017-01,13782,analyte,aspartate_aminotransferase,0.9,False,True,2025-06-25 08:37:19
0018-01,4423,anatomic_site,abdomen,0.9,False,False,2025-06-25 08:37:23
